#: :filename=/bulk/mvazque2/git/workflows/AGS/data/proteomics/.source/ptm/PTM_collapsed_log2_norm_imp_18517.txt#:type=:list
#PTM collapse key	X5Z_0_5h_Rep1	X5Z_0_5h_Rep2	X5Z_0_5h_Rep3	X5Z_0_5h_Rep4	X5Z_2h_Rep1	X5Z_2h_Rep2	X5Z_2h_Rep3	X5Z_2h_Rep4	X5Z_8h_Rep1	X5Z_8h_Rep2	X5Z_8h_Rep3	X5Z_8h_Rep4	XCONTROL_0h_Rep1	XCONTROL_0h_Rep2	XCONTROL_0h_Rep3	XCONTROL_0h_Rep4	XCTRL_0h_Rep1_2	XCTRL_0h_Rep2_2	XCTRL_0h_Rep3_2	XCTRL_0h_Rep4_2	XDMSO_0_5h_Rep1	XDMSO_0_5h_Rep1_2	XDMSO_0_5h_Rep2	XDMSO_0_5h_Rep2_2	XDMSO_0_5h_Rep3	XDMSO_0_5h_Rep3_2	XDMSO_0_5h_Rep4	XDMSO_2h_Rep1	XDMSO_2h_Rep1_2	XDMSO_2h_Rep2	XDMSO_2h_Rep2_2	XDMSO_2h_Rep3	XDMSO_2h_Rep3_2	XDMSO_2h_Rep4	XDMSO_8h_Rep1	XDMSO_8h_Rep1_2	XDMSO_8h_Rep2	XDMSO_8h_Rep2_2	XDMSO_8h_Rep3	XDMSO_8h_Rep3_2	XDMSO_8h_Rep4	XPD_0_5h_Rep1	XPD_0_5h_Rep2	XPD_0_5h_Rep3	XPD_0_5h_Rep4	XPD_2h_Rep1	XPD_2h_Rep2	XPD_2h_Rep3	XPD_2h_Rep4	XPD_8h_Rep1	XPD_8h_Rep2	XPD_8h_Rep3	XPD_8h_Rep4	XPI_0_5h_Rep1	XPI_0_5h_Rep2	XPI_0_5h_Rep3	XPI_0_5h_Rep4	XPI_2h_Rep1	XPI_2h_Rep2	XPI_2h_Rep3	XPI_2h_Rep4	XPI_8h_Rep1	XPI_8h_Rep2	XPI_8h_Rep3	XPI_8h_Rep4	XPI5Z_0_5h_Rep1	XPI5Z_0_5h_Rep2	XPI5Z_0_5h_Rep3	XPI5Z_0_5h_Rep4	XPI5Z_2h_Rep1	XPI5Z_2h_Rep2	XPI5Z_2h_Rep3	XPI5Z_2h_Rep4	XPI5Z_8h_Rep1	XPI5Z_8h_Rep2	XPI5Z_8h_Rep3	XPI5Z_8h_Rep4	XPIPD_0_5h_Rep1	XPIPD_0_5h_Rep2	XPIPD_0_5h_Rep3	XPIPD_0_5h_Rep4	XPIPD_2h_Rep1	XPIPD_2h_Rep2	XPIPD_2h_Rep3	XPIPD_2h_Rep4	XPIPD_8h_Rep1	XPIPD_8h_Rep2	XPIPD_8h_Rep3	XPIPD_8h_Rep4
ABCC1_S915_M1	16.47189212	15.51673981	15.74800245	14.9800307	16.30892091	15.68668533	15.89646534	15.67344795	16.33824112	15.75662132	16.29171024	16.13938785	17.02108774	16.53397555	15.57239618	15.22942163	16.01178503	16.00738425	15.057281	15.41322645	16.03726762	15.99167312	15.2335269	15.38161388	15.61414141	15.16959604	15.28259013	16.48739918	15.56105296	15.62142042	14.67261865	15.62931817	15.71846743	15.47824013	15.84211685	15.31507039	15.52740584	15.65510329	15.78781831	15.53743023	15.80766737	16.57309732	15.72604228	15.85504276	15.10234253	16.41574887	15.59570317	15.95320057	15.35246814	16.87204099	15.47678092	16.25547812	15.85994681	16.88795705	15.85113195	15.91292866	15.65172304	16.31322997	15.66563394	15.91998186	15.20612621	16.36507473	15.64661247	16.32431061	15.60952548	16.84239915	15.79991687	16.0188394	15.09485879	16.44789986	15.93768219	15.87209701	15.39730305	16.02661183	15.86930962	16.30855468	16.17424002	16.83839216	15.73235732	15.73143674	15.54945635	16.28796029	15.88071324	15.7816325	15.44222677	16.56966985	15.72648938	16.12184715	15.65818332
ABCC3_S281_M1	14.901932	13.5969997	13.88238029	14.28440291	14.82238705	12.33974742	13.73051715	14.24946176	15.23044717	14.46730212	14.13511594	13.92923108	15.12033287	15.10736689	13.50880531	13.37311072	13.75061098	13.81376211	14.04507486	14.05095783	14.84084273	15.07743397	13.70315215	13.38656379	12.99453717	12.4328552	13.33269827	15.25243396	14.73084783	13.96296838	14.30518476	13.69844725	13.4743538	13.42925511	14.31865386	14.41543976	14.11522767	13.35640357	13.0324054	12.79923707	11.759037	14.45891217	13.94939599	13.19860537	13.17753672	14.61465065	14.05753687	12.68105511	13.77019764	15.0718446	13.1100364	14.09108075	13.13262667	15.13226931	13.81769799	13.63225807	13.97802355	15.10016963	13.84160387	13.19142321	13.38381289	14.16477963	13.21222054	13.47434631	13.35262693	15.42092447	13.76043364	13.73798976	13.73041083	14.38507425	13.93993224	13.77629397	13.55001878	14.70845899	14.44809721	14.35677594	14.1506543	14.07093214	13.96414927	12.78107767	13.72802087	14.97703924	13.457016	13.61587472	13.91403557	14.18437549	14.19250973	13.83048105	13.63301439
ABCC3_S908_M2	16.28532009	15.45777854	15.73160406	15.16942978	15.23073651	14.92300505	15.84088923	15.53437922	15.59483927	15.35565109	15.68982633	15.53156813	14.86692499	15.03660787	15.79436105	16.07467012	11.40237439	11.40006351	11.31208719	11.26993953	15.20012735	14.86962097	15.33868345	15.28893378	15.48105336	15.34983449	15.65029172	16.10131308	16.26128946	15.7095029	16.04564509	16.00705591	15.55944183	16.10623827	17.14071613	16.60206569	16.92319637	16.22677592	16.11384442	16.46723402	17.09868719	14.03264383	15.47871178	15.54155635	15.40757648	15.48115062	15.49402177	15.43007923	15.47953688	15.97412045	13.90591299	13.75652997	13.79075612	10.86639184	11.05830254	11.55320561	11.24168462	16.13650265	15.89252282	15.38047905	15.9413803	11.08132739	11.36255003	11.34261585	10.97681545	10.68299168	11.18806541	11.29953023	11.22912383	15.01714727	15.78198576	15.70045214	15.07241451	15.61039655	14.85919177	14.724472	13.83401132	11.17405457	11.56962943	11.35218917	11.39621158	11.33036898	11.54216634	11.34834482	11.44976991	10.87981834	11.39281294	11.38038008	11.16735615
ABCC3_S911_M1	17.29754692	16.26868709	15.6807976	16.51169062	16.28454149	16.31450302	15.50651408	16.23146491	17.30883806	17.15654057	16.98854852	17.09079157	17.76424744	17.42328624	17.09420494	17.1859191	16.15138361	15.80287717	15.89353989	16.03098508	17.00348111	16.84853886	14.56055634	14.66047501	14.66872167	15.24819793	14.70411122	17.52367658	17.07849148	17.01388998	16.99120076	16.80850003	16.48506728	17.43648827	16.42852226	15.66551765	15.81948506	16.10359647	14.86217667	15.36377481	15.18819816	17.73649557	17.07739755	16.93371941	16.86296819	17.6937781	17.6065824	17.37080634	17.55583648	17.28645842	16.98499927	17.13486267	17.14072547	17.62671411	16.15827118	16.16621368	16.30151468	17.20859716	16.04400684	16.38283839	16.60581886	17.53465294	16.17861894	16.58099896	16.02842506	17.31200629	17.05948717	17.29736696	16.79447652	17.35859816	16.23450313	16.01294563	15.58998862	17.22668576	16.42178795	16.41188159	16.30249538	11.17405457	11.56962943	11.35218917	11.39621158	11.33036898	11.54216634	11.34834482	11.44976991	15.21999754	16.25810413	16.8409206	16.42764404
ABCC3_S911_M2	16.28532009	15.45777854	15.73160406	15.16942978	15.23073651	14.92300505	15.84088923	15.53437922	15.59483927	15.35565109	15.68982633	15.53156813	14.86692499	15.03660787	15.79436105	16.07467012	11.40237439	11.40006351	11.31208719	11.26993953	15.20012735	14.86962097	15.33868345	15.28893378	15.48105336	15.34983449	15.65029172	16.10131308	16.26128946	15.7095029	16.04564509	16.00705591	15.55944183	16.10623827	17.14071613	16.60206569	16.92319637	16.22677592	16.11384442	16.46723402	17.09868719	14.03264383	15.47871178	15.54155635	15.40757648	15.48115062	15.49402177	15.43007923	15.47953688	15.97412045	13.90591299	13.75652997	13.79075612	10.86639184	11.05830254	11.55320561	11.24168462	16.13650265	15.89252282	15.38047905	15.9413803	11.08132739	11.36255003	11.34261585	10.97681545	10.68299168	11.18806541	11.29953023	11.22912383	15.01714727	15.78198576	15.70045214	15.07241451	15.61039655	14.85919177	14.724472	13.83401132	11.17405457	11.56962943	11.35218917	11.39621158	11.33036898	11.54216634	11.34834482	11.44976991	10.87981834	11.39281294	11.38038008	11.16735615
ABCC4_S655_M1	16.91935655	16.38346782	16.70298132	16.91864092	16.56227263	16.57961759	16.69981233	16.47772738	17.33624806	17.05753504	16.7292914	16.88084279	17.22337573	17.1279619	16.58684833	16.88605796	17.03212887	16.67365372	16.99136579	17.22544838	16.78931996	17.28070439	16.27676143	16.33474908	16.36878888	16.51195704	17.05240781	17.03410809	16.77225908	16.68340692	16.82931403	17.09576126	16.71959707	16.93453991	16.6407088	16.89317139	17.14388961	16.35304776	16.66980675	16.8226489	16.6943484	17.07980514	16.66323873	16.86837145	16.25550293	16.97161839	16.65889837	16.61427167	16.62887228	17.48796433	16.71104186	17.10552897	16.47692754	17.53992424	17.00651649	17.12069708	17.23178056	17.88535449	17.24512606	17.51876811	17.28895763	17.98157699	17.17321177	17.04873304	17.37569654	17.26634242	16.95006926	17.11500477	16.9610541	17.5110477	17.20736081	17.55922247	17.3348761	17.86850306	17.73396554	17.57673784	17.5608537	16.79999327	16.76508817	17.1211219	16.8105063	17.48236557	16.66606046	17.28667826	17.1790743	18.26844755	17.87146676	17.52375116	17.95032187
ABCC4_S655_M2	13.92568638	16.00044744	16.14865224	15.63751328	16.21665712	15.75033121	16.47455114	15.92078668	16.71302894	16.39241809	16.33637005	16.30961691	16.70068347	16.35714891	15.96030482	16.0177563	16.47827692	16.36251774	16.393433	16.47260062	16.13839691	16.92116105	16.4313038	16.49267984	17.0063417	16.69249616	16.71970078	16.05597561	17.55040024	16.21298682	16.29090877	16.58474793	17.03857079	17.41334271	16.29235751	16.83653815	16.58203354	16.55915225	17.15039908	16.80700969	16.9944976	15.93231602	16.0900462	16.20539951	15.96230852	11.19765681	11.41869582	11.38802024	11.42178197	15.89204171	15.85598287	16.02456372	15.86357565	15.75439413	16.25915905	16.40619805	15.99318094	16.35117208	16.44714113	16.12467883	16.23607664	15.86506427	16.36145381	16.56014149	16.51328479	15.24703662	16.33276713	16.17559496	16.87169867	16.23337514	16.5028306	16.39083795	15.90137918	16.29354077	16.63742549	16.05129062	16.09613708	15.55310372	16.12534695	16.24410589	16.33197046	16.9384363	16.63895557	16.79349581	16.27259382	16.99310672	16.79379	16.55787338	16.34863843
ABCC4_S665_M1	17.43033744	16.60248117	16.11165133	16.79901855	16.87106138	16.79145066	16.16043121	16.73111634	17.30337515	17.08059957	16.82909327	17.0424105	11.07848407	11.21312258	11.44748224	11.38071054	16.25570372	16.3342186	16.32430274	16.38832912	16.73707807	17.35459513	16.53155824	16.53299991	16.65259517	16.42719469	16.53627753	11.28531777	11.40362415	11.62023539	11.44463536	11.61468882	11.24936721	11.44557464	11.55251624	11.41878176	11.42793322	11.35490924	11.08651666	11.17685683	11.45298624	17.55155422	16.70847556	16.60778607	16.45776419	17.88968361	16.52053376	16.70993583	16.33114518	17.0879673	17.10774459	17.10650319	17.12252057	10.86639184	11.05830254	11.55320561	11.24168462	15.05632302	16.02672002	16.00609642	16.12532404	16.38316102	16.41739228	16.14787539	16.22380845	10.68299168	11.18806541	11.29953023	11.22912383	11.11876813	11.22775144	11.53084811	11.17525163	10.78556952	11.20589014	11.30758416	11.18662747	17.66315591	15.95735475	16.16639824	15.65672708	11.33036898	11.54216634	11.34834482	11.44976991	10.87981834	11.39281294	11.38038008	11.16735615
ABCC4_S665_M2	13.21615275	17.05799643	17.33962662	16.77574149	18.1448807	17.04858038	17.9764111	17.15628267	17.94285554	17.16636191	17.33401195	16.20310087	17.39985747	17.46346106	16.69438287	16.02200873	17.33806071	17.58051477	16.66063755	16.13920873	17.64642301	18.43627279	16.85467106	17.33552287	18.06146615	17.8701973	18.03212086	17.92307253	19.15852493	17.03795036	17.26919296	17.80574836	18.35448446	18.25521768	16.59977392	17.44586909	17.52788857	17.36404411	18.63611953	18.45868458	18.29873799	16.69816359	17.26682039	17.03712772	16.98765252	16.67805663	16.54955617	16.7751134	16.98015966	17.15337794	16.77446621	17.06430381	16.82548737	16.8155821	16.10603041	16.84712967	17.01771601	16.56443786	16.25371722	16.21145674	16.38240602	15.80573292	16.32602804	17.01661529	11.69313838	17.44000804	16.48657898	16.51585522	16.62815796	15.43529305	16.01378709	16.61233365	16.07803816	15.32438145	16.71872367	16.32093408	16.77413625	14.42749171	16.68535149	16.30889758	16.52960498	17.06056682	16.15084271	17.19197851	16.72515309	16.04846286	16.07792208	16.93395852	16.58280975
ABCC4_S668_M1	16.75724308	16.02640984	16.60324698	16.18968518	17.59224918	16.43298262	16.54116848	17.08863292	17.90069413	17.47359137	16.96893407	17.8537399	16.92087285	17.98107606	15.4998186	16.28589359	16.58247747	17.23093761	15.94456387	16.24956321	16.06330864	16.71161509	15.72858344	15.66227637	16.00293939	15.41597774	15.86153369	15.86573215	15.93279688	15.70453277	15.87880393	16.94757949	16.07255738	16.32953375	15.73908263	15.73838616	16.15868982	15.98119131	15.99535519	16.90663262	16.1585347	17.10553986	16.55082732	17.10443273	16.78542195	17.7416362	16.39780081	17.36405663	16.32979917	16.30225004	16.81444437	17.79102817	17.54217841	16.43167824	16.9440879	16.88532671	16.98986673	16.17429409	16.90684883	16.59713514	16.89273178	17.08617651	16.36657877	17.142026	16.91861094	16.67751425	17.09251946	16.67740999	16.5074313	17.80763181	16.90060488	17.03819708	16.83614696	16.60748397	16.96287586	17.31194599	16.80967655	17.49614153	16.80568458	16.71618498	16.83755325	16.92189993	16.45951816	16.25510452	16.76248238	16.47814981	16.59679324	16.90851375	17.2414392
